Logger Number,Shelter Number,Lizard Number,Date In,Time In,Date Out,Time out,Logger Depth,UTM East,UTM North,EPE(m),Roof,Floor,Azimuth,Width,Height,Depth,Shelter Type,Treatment,Month
-7805,B22,C-3,5/7/20,10:35,5/12/20,11:22,20,641121,4002839,3,5,3,155,13,7,20,RS,Actual,April
-7652,B22,C-3,5/7/20,11:14,5/12/20,11:26,62,641131,4002856,3,5,2.5,212,60,15,67,SC,Random,April
-7651,B22,C-3,5/7/20,10:52,5/12/20,11:24,22,641102,4002858,3,5,2.5,138,15,5,22,RS,Potential,April
-7653,B23,C-9,5/8/20,8:53,5/12/20,8:52,68,641670,4002630,3,5,1.5,226,17,11,69,RS,Actual,April
-7649,B23,C-9,5/8/20,9:19,5/12/20,8:53,110,641675,4002632,3,5,2,292,73,17,110,LC,Random,April
-7806,B23,C-9,5/8/20,9:04,5/12/20,8:53,63,641674,4002634,3,5,1.5,246,25,11,69,RS,Potential,April
-7653,B27,C-24,5/3/20,11:13,5/7/20,11:27,39,641592,4002883,3,5,2.5,219,11,8,39,RS,Actual,May
-7806,B27,C-24,5/3/20,11:32,5/7/20,11:31,33,641585,4002876,3,5,1.5,90,20,14,38,RS,Random,May
-7649,B27,C-24,5/3/20,11:20,5/7/20,11:29,36,641596,4002879,3,5,2.5,216,9,11,36,RS,Potential,May
-3418,B3,C-24,4/16/20,14:12,4/19/20,15:02,78,642387,4002962,3,5,1.5,225,16,16,123,RS,Actual,April
-7811,B3,C-24,4/16/20,14:26,4/19/20,15:04,23,642391,4002963,3,5,3,270,22,11,23,RS,Random,April
-3417,B3,C-24,4/16/20,14:17,4/19/20,15:03,77,642382,4002961,3,5,3,250,12,10,117,RS,Potential,April
-7650,B32,C-8,5/7/20,7:32,5/10/20,9:02,88,641864,4000883,3,5,2,137,33,15,116,RS,Actual,May
-7807,B32,C-8,5/7/20,8:06,5/10/20,9:17,87,641866,4000887,3,5,4,306,47,16,89,RS,Random,May
-7808,B32,C-8,5/7/20,7:56,5/10/20,9:03,85,641858,4000890,3,5,2,124,30,12,108,RS,Potential,May
-7804,B34,C-4,5/10/20,7:59,5/14/20,8:47,73,641581,4002061,3,5,1.5,137,18,15,75,SC,Actual,May
-3417,B34,C-4,5/10/20,8:09,5/14/20,8:49,48,641582,4002053,3,5,3,64,59,14,48,RS,Random,May
-7811,B34,C-4,5/10/20,8:04,5/14/20,8:48,80,641581,4002056,3,5,1.5,125,17,14,80,SC,Potential,May
